Function Name,Module,CC,Faults Injected,Detected,P(≤1 fault),Reliability Level,Risk Level
GetStudentEventRegistrations,EventRegistration,1,5,5,96%,EXCELLENT,Very Low
RegisterForEvent,EventRegistration,2,5,5,96%,EXCELLENT,Very Low
DeleteAnnouncement,Announcement,1,5,5,96%,EXCELLENT,Very Low
GetEventRegistrations,EventRegistration,1,5,5,95%,EXCELLENT,Very Low
GetTicketNumber,EventRegistration,2,5,5,95%,EXCELLENT,Very Low
IsRegistered,EventRegistration,2,5,5,95%,EXCELLENT,Very Low
CheckInStudent,EventRegistration,2,5,5,95%,EXCELLENT,Very Low
GetAnnouncement,Announcement,1,5,5,94%,EXCELLENT,Very Low
CreateAnnouncement,Announcement,2,5,5,94%,EXCELLENT,Very Low
CancelRegistration,EventRegistration,2,5,5,94%,EXCELLENT,Very Low
HashPassword,User,1,5,4,92%,RELIABLE,Low
CreateTask,TaskAssignment,2,5,5,92%,RELIABLE,Low
UpdateAnnouncement,Announcement,2,5,5,92%,RELIABLE,Low
GetAnnouncementsBySociety,Announcement,1,5,5,93%,RELIABLE,Low
SearchAnnouncements,Announcement,2,5,4,89%,RELIABLE,Low-Medium
VerifyPassword,User,2,5,4,88%,RELIABLE,Low
UpdateTask,TaskAssignment,2,5,4,87%,RELIABLE,Low
GetAllUsers,User,1,5,4,85%,RELIABLE,Low
DeleteTask,TaskAssignment,1,5,4,84%,RELIABLE,Low
GetTaskByID,TaskAssignment,2,5,4,83%,RELIABLE,Low
GetSocietyTasks,TaskAssignment,2,5,4,82%,RELIABLE,Low
GetMemberByID,SocietyMember,2,5,4,82%,RELIABLE,Low
GetMemberTasks,TaskAssignment,2,5,4,81%,RELIABLE,Low
CreateEvent,Event,3,5,4,81%,RELIABLE,Low-Medium
GetEventByID,Event,2,5,4,80%,RELIABLE,Low
UpdateEvent,Event,2,5,3,76%,MODERATE,Medium
Authenticate,User,5,5,3,76%,MODERATE,Medium
AddMember,SocietyMember,2,5,3,76%,MODERATE,Medium
UpdateLastLogin,User,2,5,3,74%,MODERATE,Low-Medium
ApproveEvent,Event,2,5,3,74%,MODERATE,Medium
ApproveMembership,SocietyMember,2,5,3,74%,MODERATE,Medium
CreateSociety,Society,2,5,3,74%,MODERATE,Medium
CancelEvent,Event,2,5,3,75%,MODERATE,Medium
GetApprovedEvents,Event,2,5,3,73%,MODERATE,Medium
GetUpcomingEvents,Event,3,5,3,72%,MODERATE,Medium
GetPendingRequests,SocietyMember,2,5,3,73%,MODERATE,Medium
RegisterUser,User,2,5,3,72%,MODERATE,Medium
